Unnamed: 0,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun,Overall Frequency,Song Frequency
234,you,Personal Lies,3,2,52,True,52,19
235,care,Personal Lies,4,2,18,False,18,17
236,do,Personal Lies,2,1,15,False,15,13
237,you,Personal Lies,3,2,52,True,52,19
238,care,Personal Lies,4,2,18,False,18,17
239,not,Personal Lies,3,1,19,False,19,19
240,at,Personal Lies,2,1,21,False,21,19
241,all,Personal Lies,3,1,21,False,21,19
242,do,Personal Lies,2,1,15,False,15,13
243,you,Personal Lies,3,2,52,True,52,19
244,not,Personal Lies,3,1,19,False,19,19
245,at,Personal Lies,2,1,21,False,21,19
246,all,Personal Lies,3,1,21,False,21,19
247,care,Personal Lies,4,2,18,False,18,17
248,no,Personal Lies,2,1,8,False,8,5
249,not,Personal Lies,3,1,19,False,19,19
250,at,Personal Lies,2,1,21,False,21,19
251,all,Personal Lies,3,1,21,False,21,19
252,do,Personal Lies,2,1,15,False,15,13
253,you,Personal Lies,3,2,52,True,52,19
254,not,Personal Lies,3,1,19,False,19,19
255,at,Personal Lies,2,1,21,False,21,19
256,all,Personal Lies,3,1,21,False,21,19
257,care,Personal Lies,4,2,18,False,18,17
258,not,Personal Lies,3,1,19,False,19,19
259,at,Personal Lies,2,1,21,False,21,19
260,all,Personal Lies,3,1,21,False,21,19
261,do,Personal Lies,2,1,15,False,15,13
262,you,Personal Lies,3,2,52,True,52,19
263,not,Personal Lies,3,1,19,False,19,19
264,at,Personal Lies,2,1,21,False,21,19
265,all,Personal Lies,3,1,21,False,21,19
266,care,Personal Lies,4,2,18,False,18,17
267,no,Personal Lies,2,1,8,False,8,5
268,not,Personal Lies,3,1,19,False,19,19
269,at,Personal Lies,2,1,21,False,21,19
270,all,Personal Lies,3,1,21,False,21,19
271,do,Personal Lies,2,1,15,False,15,13
272,you,Personal Lies,3,2,52,True,52,19
273,not,Personal Lies,3,1,19,False,19,19
274,at,Personal Lies,2,1,21,False,21,19
